time_s,motor,sg,threshold,window_avg,window_n,vel_mms,pos_x,pos_y,pos_z,state
57.413,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
57.413,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
57.433,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
57.433,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
57.433,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
57.454,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
57.454,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
57.454,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
57.474,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
57.474,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
57.474,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
57.494,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
57.494,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
57.494,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
57.515,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
57.515,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
57.515,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
57.535,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
57.535,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
57.535,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
57.555,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
57.555,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
57.555,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
57.575,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
57.575,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
57.575,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
57.595,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
57.595,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
57.595,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
57.616,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
57.616,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
57.616,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
57.636,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
57.636,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
57.636,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
57.656,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
57.656,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
57.656,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
57.676,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
57.676,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
57.676,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
57.696,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
57.696,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
57.696,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
57.717,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
57.717,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
57.717,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
57.737,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
57.737,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
57.737,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
57.757,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
57.757,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
57.757,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
57.777,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
57.777,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
57.777,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
57.797,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
57.797,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
57.797,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
57.818,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
57.818,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
57.818,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
57.838,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
57.838,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
57.838,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
57.858,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
57.858,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
57.858,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
57.878,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
57.878,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
57.878,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
57.898,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
57.898,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
57.898,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
57.919,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
57.919,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
57.919,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
57.939,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
57.939,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
57.939,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
57.96,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
57.96,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
57.96,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
57.98,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
57.98,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
57.98,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
58.0,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
58.0,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
58.0,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
58.021,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
58.021,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
58.021,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
58.041,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
58.041,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
58.041,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
58.061,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
58.061,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
58.061,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
58.081,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
58.081,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
58.081,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
58.101,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
58.101,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
58.101,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
58.122,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
58.122,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
58.122,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
58.142,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
58.142,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
58.142,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
58.162,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
58.162,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
58.162,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
58.182,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
58.182,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
58.182,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
58.202,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
58.202,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
58.202,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
58.223,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
58.223,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
58.223,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
58.243,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
58.243,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
58.243,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
58.263,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
58.263,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
58.263,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
58.283,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
58.283,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
58.283,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
58.303,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
58.303,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
58.303,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
58.324,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
58.324,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
58.324,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
58.344,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
58.344,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
58.344,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
58.364,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
58.364,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
58.364,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
58.384,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
58.384,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
58.384,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
58.404,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
58.404,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
58.404,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
58.425,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
58.425,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
58.425,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
58.445,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
58.445,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
58.445,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
58.466,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
58.466,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
58.466,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
58.486,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
58.486,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
58.486,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
58.506,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
58.506,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
58.506,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
58.527,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
58.527,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
58.527,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
58.547,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
58.547,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
58.547,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
58.567,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
58.567,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
58.567,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
58.587,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
58.587,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
58.587,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
58.608,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
58.608,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
58.608,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
58.628,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
58.628,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
58.628,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
58.648,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
58.648,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
58.648,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
58.668,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
58.668,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
58.668,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
58.688,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
58.688,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
58.688,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
